,company,title,source,time,url,label_x,score_x,label_y,score_y,label_z,score_z,zero_shot_label,zero_shot_score,Date,ticker,environmentScore,socialScore,governanceScore,Open,High,Low,Close,Adj Close,Volume
41,Tesla,Tesla asks shareholders to restore $56B Elon Musk pay package that was voided by Delaware judge,The Associated Press,Apr 17,https://apnews.com/article/musk-pay-compensation-corporate-registration-ef5e30f6b56f7d936f8c882fc1c96875,NEGATIVE,0.9945276379585266,neutral,0.9974144697189332,Neutral,0.9508857131004332,government,0.6528878808021545,2024-04-17,TSLA,3.31,14.08,7.85,157.639999,158.330002,153.779999,155.449997,155.449997,82439700.0
42,Tesla,Tesla Promises ‘More Affordable Models’ and a ‘Cybercab’,WIRED,Apr 23,https://www.wired.com/story/tesla-promises-more-affordable-vehicles-cybercab/,POSITIVE,0.9654311537742616,positive,0.9972565770149232,Neutral,0.5918465256690979,social,0.5253588557243347,2024-04-23,TSLA,3.31,14.08,7.85,143.330002,147.259995,141.110001,144.679993,144.679993,124545100.0
44,Tesla,"What We Know About Tesla’s Major Recall of 125,000 Vehicles",TIME,May 31,https://time.com/6984405/tesla-is-recalling-125000-vehicles-for-a-seat-belt-signal-issue-heres-what-we-know/,POSITIVE,0.96370667219162,neutral,0.9984862804412842,Neutral,0.9045384526252748,social,0.408251017332077,2024-05-31,TSLA,3.31,14.08,7.85,178.5,180.320007,173.820007,178.080002,178.080002,67314600.0
45,Tesla,"Tesla recalling nearly 4,000 Cybertrucks because accelerator pedal can get stuck",The Associated Press,Apr 19,https://apnews.com/article/tesla-recall-musk-cybertruck-nhtsa-ff2018b672b1109543c52b0058698499,NEGATIVE,0.9893717765808104,negative,0.9890599250793456,Negative,0.7849639654159546,environment,0.3607587218284607,2024-04-19,TSLA,3.31,14.08,7.85,148.970001,150.940002,146.220001,147.050003,147.050003,86005100.0
46,Tesla,Elon Musk's Tesla recalls two million cars in US over Autopilot defect,BBC.com,"Dec 13, 2023",https://www.bbc.com/news/technology-67693935,NEGATIVE,0.9749293327331544,negative,0.8521525859832764,Negative,0.6981438398361206,government,0.3979808092117309,2023-12-13,TSLA,3.31,14.08,7.85,234.190002,240.300003,228.199997,239.289993,239.289993,146286300.0
47,Tesla,Tesla loses its EV quality edge as repair problems continue to plague the market,CNBC,Jun 27,https://www.cnbc.com/2024/06/27/jd-power-tesla-loses-its-ev-quality-edge.html,NEGATIVE,0.9997585415840148,negative,0.9984614849090576,Negative,0.90062415599823,environment,0.3242911696434021,2024-06-27,TSLA,3.31,14.08,7.85,195.169998,198.720001,194.050003,197.419998,197.419998,72746500.0
48,Tesla,Tesla CEO Elon Musk appears to confirm delay in Aug. 8 robotaxi unveil event to make design change,The Associated Press,Jul 15,https://apnews.com/article/tesla-robotaxi-musk-delay-apparently-confirmed-55f24adb249cf453c13896712e2fcca6,NEGATIVE,0.9669119715690612,neutral,0.8362526893615723,Negative,0.6438927054405212,social,0.3526563048362732,2024-07-15,TSLA,3.31,14.08,7.85,255.970001,265.600006,251.729996,252.639999,252.639999,146912900.0
49,Tesla,"34-year-old earning $400,000 a year: I regret buying a brand-new Tesla—it was a 'huge mistake'",CNBC,Jun 28,https://www.cnbc.com/2024/06/28/why-buying-a-brand-new-tesla-was-a-huge-mistake.html,NEGATIVE,0.9995926022529602,negative,0.991146981716156,Negative,0.8973425030708313,environment,0.3243096768856048,2024-06-28,TSLA,3.31,14.08,7.85,199.550003,203.199997,195.259995,197.880005,197.880005,95438100.0
50,Tesla,Elon Musk Mandates Test Drives of Tesla’s Flawed Driving System,Bloomberg,Mar 27,https://www.bloomberg.com/news/newsletters/2024-03-27/tesla-fsd-trial-elon-musk-looks-to-boost-sales-of-flawed-product,NEGATIVE,0.9978371262550354,neutral,0.9992679953575134,Neutral,0.90418541431427,social,0.3741308748722076,2024-03-27,TSLA,3.31,14.08,7.85,181.410004,181.910004,176.0,179.830002,179.830002,81804000.0
51,Tesla,Tesla Recalls Autopilot Software in 2 Million Vehicles,The New York Times,"Dec 13, 2023",https://www.nytimes.com/2023/12/13/business/tesla-autopilot-recall.html,NEGATIVE,0.9990506768226624,neutral,0.9998438358306884,Neutral,0.975319504737854,government,0.27118119597435,2023-12-13,TSLA,3.31,14.08,7.85,234.190002,240.300003,228.199997,239.289993,239.289993,146286300.0
53,Tesla,Tesla’s Troubles Raise Questions About Its Invincibility,The New York Times,Mar 21,https://www.nytimes.com/2024/03/18/business/tesla-elon-musk-troubles.html,NEGATIVE,0.9413509368896484,negative,0.9837144017219543,Negative,0.5353549718856812,social,0.4558929204940796,2024-03-21,TSLA,3.31,14.08,7.85,176.389999,178.179993,171.800003,172.820007,172.820007,73178000.0
54,Tesla,"Tesla, Volvo Car pause output as Red Sea shipping crisis deepens",Reuters,Jan 11,https://news.google.com/read/CBMi0gFBVV95cUxNX0JfWXFROFBWLWJTcHAzblRHWnVvSlBGOVk5VEhmVGt5VGwybFlGRE1sWWtuQzNKNWZYOWZnWWdfd05yUGZQby01SVRxY2NETlFJUjNUNGUwRjhadWR2cEF0SlFzbUlqbV9QYUE5VDJUYVR4dWU1bDl6RE9yUm85OHdkdnJJSEZvR0g4ZHJkWTZ1eVo1bGdSNGhsckpSdnh3cFAzVDREcjFzRk9ReFFRMVBlMlJ5WWh2UGtfZ0NGNnE5WXhpZmRsWFN2R0l1WmdHbUE?hl=en-US&gl=US&ceid=US%3Aen,NEGATIVE,0.9825637936592102,negative,0.9967267513275146,Negative,0.8539077043533325,social,0.4234536588191986,2024-01-11,TSLA,3.31,14.08,7.85,230.570007,230.929993,225.369995,227.220001,227.220001,105873600.0
55,Tesla,Exclusive: Tesla scraps low-cost car plans amid fierce Chinese EV competition,Reuters,Apr 5,https://news.google.com/read/CBMizAFBVV95cUxQV21SVjhyY2FJckxiYnl0WGVkd0Rkc1NSakZFQ1E5VXpYU01yRHZubzM2RDhqOGpjZjViYXNfSlozMmRtTlVZV29jcEdWcjZPUnVLaG5UMUZrQ0RMWVRob3NzUEJkZFJtUjBmNzA2Q0dKTzNwM1hNT3JWRlpGRWxUd0VjVmtCZDJIWEZjR3d5SUx1TjhLOXJGY0xILS14WGFHV290NjdiVy05ZWdYeTNxeDN0YU52eEJKNW5hZFdxZnA1OHZGZVBCUHRYQi0?hl=en-US&gl=US&ceid=US%3Aen,NEGATIVE,0.9989294409751892,negative,0.9149717092514038,Neutral,0.867233395576477,government,0.3537295460700989,2024-04-05,TSLA,3.31,14.08,7.85,169.080002,170.860001,160.509995,164.899994,164.899994,141250700.0
56,Tesla,Tesla blamed drivers for failures of parts it long knew were defective,Reuters,"Dec 20, 2023",https://news.google.com/read/CBMiiwFBVV95cUxNTnVRZExSSlhYeXpuRzVaMjVkLWZpV2VJR2FGWUh5Y25VYzloYTBVZ0RCYWdWcWM2TXBobk9sQkQ3VHM4TU9KcklpdjRQdUkyNWpjbnY0NmZqOFlUZkJJWVZudmhOcEhILXItb1hOZmd4RzZzUE1DWDd5MkhLcV9BZmRLdHNUbXM5Tkpv?hl=en-US&gl=US&ceid=US%3Aen,NEGATIVE,0.9995490908622742,negative,0.7698490619659424,Negative,0.7642894387245178,social,0.5608642101287842,2023-12-20,TSLA,3.31,14.08,7.85,256.410004,259.839996,247.0,247.139999,247.139999,125097000.0
57,Tesla,Tesla recalls nearly all vehicles on US roads over lack of Autopilot safeguards,Reuters,"Dec 13, 2023",https://news.google.com/read/CBMizAFBVV95cUxNejdIQ0pWYkU3dDRkbmJuWjQ4NmowOWE5Vm5NaHk0WkNjYmZZWVdaMnl4R09KbTRjOU9XS05TWXFTX25nc2otNEl0LUxRV0pCUVhxeGVnS3VoZF8xeDhsT1lycUJjZUpEZUZWN3JMYUlvQTV6Yjk3d18zWjVhNERLcnEwakNQV2Z3eGtTTkRWZ29lc29aVEFMMkFFMTlkSjcxcjhQMjV0emd2MjhaeWMzMV9FNDlDVi1zdkNjRlBKOE9EdVBYN0N2Tm1vWTU?hl=en-US&gl=US&ceid=US%3Aen,NEGATIVE,0.9931936860084534,negative,0.9087201952934264,Negative,0.7652562260627747,government,0.3419711291790008,2023-12-13,TSLA,3.31,14.08,7.85,234.190002,240.300003,228.199997,239.289993,239.289993,146286300.0
58,Tesla,Tesla releases refreshed Model 3 with longer driving range in China,Reuters,"Sep 1, 2023",https://news.google.com/read/CBMivAFBVV95cUxOY0lhaFdRYU5NV1lUV2MyMGk0SVAxaFdGSW5iRDNYNU9Rc21Jd21kbkkzYmJGSTFfLV9HRWV2NzZfZzY1NnBrRXRBYTlPZzVUVDNULVVFdWNfdUptbzJsVlBQMjk2bTFKUzNja0Q3QklsOWYxUWx1Mk5KY0plVWRQaF9oZlFRckZmZ1ptREtGZURjbXpxMnZmZ3ZSRUgwOTgwaEVOTDA4RnFZTno0OHBjMHdLcC1LdzJoLWxHXw?hl=en-US&gl=US&ceid=US%3Aen,POSITIVE,0.9952994585037231,neutral,0.9654125571250916,Neutral,0.7496514320373535,environment,0.3442435264587402,2023-09-01,TSLA,3.31,14.08,7.85,257.26001,259.079987,242.009995,245.009995,245.009995,132272500.0
59,Tesla,Tesla promises 'more affordable' cars after shelving all-new Model 2,Reuters,Apr 23,https://news.google.com/read/CBMiugFBVV95cUxQbktqdmlfendjcDh2UTRVbXBJOGFvUVpxZWR3WW9sZE5XS1E5ZnZpd3R2Qk52a1gxNU5rYW5nY3NXaFZ0ZXYtY2FBMUFHOEhZSFpYUlRSajNfSkJqUmp4N0VLWHRtWVU0Y3E2RGVzaS1MM211Z1h6OXpZaWs4bFFJOTd1dklkQUZOY0thUV8yaDF5MG5IY3pCdVdkMjlLMnVYbmZwckxxSWJpbWlhckpQQ1lLdGxEZjk0X3c?hl=en-US&gl=US&ceid=US%3Aen,POSITIVE,0.9791219830513,positive,0.9941630959510804,Neutral,0.5578561425209045,social,0.300031304359436,2024-04-23,TSLA,3.31,14.08,7.85,143.330002,147.259995,141.110001,144.679993,144.679993,124545100.0
60,Tesla,Focus: Tesla braces for its first trial involving Autopilot fatality,Reuters,"Aug 28, 2023",https://news.google.com/read/CBMiwAFBVV95cUxQLTVISHdJZGw1VDNyX0Z4bHRvckZDZ0FvTlU1cjM4SXFvOG9LbUlOWEU0WFZEZVMyNUdiOTFsYVhLVWZKZEotZW1xVl83b2dHdE5mbUFRd3N3aUswTXVqbTZJZ3BqWFNraEdJRTJhSFRJOG9HOUtDZDN1UlU4LUd5eUR2aFpkQXlwS28wTGJ6N05BN2ViZW0xTGk0MVFrZHFuTmRyNk1rakN1UTdPZmxiaExZZ05jbzIwb1hrUHZXTGY?hl=en-US&gl=US&ceid=US%3Aen,NEGATIVE,0.99258291721344,neutral,0.9998155236244202,Neutral,0.8159760236740112,social,0.420194923877716,2023-08-28,TSLA,3.31,14.08,7.85,242.580002,244.380005,235.350006,238.820007,238.820007,107673700.0
61,Tesla,Tesla reinvents carmaking with quiet breakthrough,Reuters,"Sep 14, 2023",https://news.google.com/read/CBMisAFBVV95cUxQR1lBM2w0Q0JidUdIQkFZNnkxTm9KZWp3SDhRM3dSZWpLVy1LaXBTZktIS0xGWUlUZFo2QkM3dzVwZnRMV2djcnRnTHZ1YnhfY1ZNZmZhQVB5RUxFMFFSVUYzM2NnckIySU9VcG4tM3BtUlVtSnh5WW1QdVBsbzBrLXRnTEw4SC13alQ2WXpqbEY5cVc0eWRLVlItbEdmbDBfYnc5Z1JUSFdtT09fRngwMw?hl=en-US&gl=US&ceid=US%3Aen,POSITIVE,0.9996345043182372,positive,0.9991264939308168,Positive,0.5019997954368591,neutral,0.9042271375656128,2023-09-14,TSLA,3.31,14.08,7.85,271.320007,276.709991,270.420013,276.040009,276.040009,107709800.0
62,Tesla,"Tesla delivers record Q4 cars, but China's BYD steals top EV spot",Reuters,Jan 3,https://news.google.com/read/CBMiswFBVV95cUxQUmRZV2QtWEFJeVFac2NNWkl0QzRfbWxzR1RlT3FvbTczV2F4a1djc29YRTNZU2hBWFdCTWZ3TWxtSmFNU2lqMDNLOFM3QlEwZi1idTF0NzUxSVZ3UlRXMGphc1NZQXFxTkNUY2pYS2lhUDZ6Zlp6eEwzZWZ1Uzc4TjBnYmltdkhFQ3N6TE5uRW1vQXkyZkVwU1hNVVdhOHZWTU9BQmNJRVNPOEVXLXZ5ZWt6RQ?hl=en-US&gl=US&ceid=US%3Aen,POSITIVE,0.9895364046096802,positive,0.9994972944259644,Neutral,0.7750773429870605,government,0.3491449654102325,2024-01-03,TSLA,3.31,14.08,7.85,244.979996,245.679993,236.320007,238.449997,238.449997,121082600.0
63,Tesla,Wall Street wants answers from Elon Musk on Tesla's Model 2 car,Reuters,Apr 17,https://news.google.com/read/CBMiugFBVV95cUxQOF8xOFRvcG1MZ3U2b1Ixemg5Uy1jb1JtUFJwREZac3dST0poM1JBa0gzRWlVMWFBZlNMN19kWmxRQXFSQzRDNEVBeXVsVGVvZ1o3ckxseDdlcUpEWmlXUldnc05ub1F4S0RxTy00dXhHSlJXQS0za2xUMm5PcVVnenlVSUQ0R2pJYzlUTkpMc2VMZUFncEk1UE1OMjV3SEFYSHVWUUtXa2JHelZwbHhhamhaWnpDb1hHWnc?hl=en-US&gl=US&ceid=US%3Aen,NEGATIVE,0.9728583097457886,neutral,0.999783456325531,Neutral,0.9795291423797609,social,0.6804705858230591,2024-04-17,TSLA,3.31,14.08,7.85,157.639999,158.330002,153.779999,155.449997,155.449997,82439700.0
65,Tesla,Tesla quarterly deliveries decline for the first time in nearly four years,Reuters,Apr 2,https://news.google.com/read/CBMitgFBVV95cUxOUVVqZ1JxdF9FV1lUTEg0UUREWGVjYXNxNTd0R1Q1WnpXMi1Zb3ZmYlQ2Y1BhUGFoTzNoQVlFMEkwOUhubVJNa1BVdDAzSmlVTGwtZEtOak9ibjFORDdyOXFqTnMzRVBmcFgxa0xjaGppNVRPOVlReDR6SWxDN2E5REZ4WGR5bFZZREFPY1lqcFpMNGZLQU1ab3E3Y2lhOE9LazY5bFRnNGZOb0NCSFZmREpKVzd0dw?hl=en-US&gl=US&ceid=US%3Aen,NEGATIVE,0.9983890056610109,negative,0.9986869692802428,Negative,0.9136539697647096,environment,0.3222385048866272,2024-04-02,TSLA,3.31,14.08,7.85,164.75,167.690002,163.429993,166.630005,166.630005,116650600.0
66,Tesla,Tesla's once-stellar reputation is running out of juice,Axios,May 23,https://news.google.com/read/CBMidkFVX3lxTE9uZVp0em5WYVZiS0t5Y3Q4VE40c3RFNjJRVmRrcm1lMWU0TGdjRUNfSC1KV3l1cGM1dlNxTzN2Mjl2SDY2bGJmVlAwZlpYaU5qVVFmLXFUUDAxSmVtZXQxbmhoOXRKWnA0SC1yUTRTdmduaUhrc1E?hl=en-US&gl=US&ceid=US%3Aen,NEGATIVE,0.9996318817138672,negative,0.9974072575569152,Negative,0.6594499945640564,social,0.4907008707523346,2024-05-23,TSLA,3.31,14.08,7.85,181.800003,181.899994,173.259995,173.740005,173.740005,71975500.0
